Time,Dsat,Dsat(error),Dsat(std),Dsat(pts),Dmsd,Dmsd(std),DmsdX,DmsdX(std),DmsdY,DmsdY(std),DmsdZ,DmsdZ(std)
10,2.099284772434745,0.00012454208571578302,0,80,2.1866094166666667,0,2.2284154999999997,0,2.2338936249999999,0,2.0975191250000003,0
60.43333333333333,1.7942720386096196,0.00023714449940272258,0,41,1.8870692360728076,0,1.9360618105350249,0,1.9393391822945396,0,1.7858067153888584,0
110.83333333333333,1.6762431937655486,0.00028096924738492401,0,34,1.7605591090225565,0,1.7990138458646618,0,1.8196336917293232,0,1.6630297894736841,0
161.23333333333332,1.6020362705848565,0.00034536714646296211,0,30,1.6756747519123427,0,1.7162922395079596,0,1.7297561660119911,0,1.5809758502170768,0
211.63333333333333,1.5352010693006686,0.00060479024866684679,0,28,1.6084276460859979,0,1.6576105626870374,0,1.6599021499448732,0,1.507770225626083,0
262.0333333333333,1.4807290921135257,0.00045783982952548349,0,26,1.5562337488869102,0,1.6074844882966546,0,1.6064719262816438,0,1.4547448320824325,0
312.43333333333334,1.4459193326150732,0.00056306531838486542,0,25,1.5143944414808492,0,1.5698805198442336,0,1.5565646831324016,0,1.4167381214659127,0
362.83333333333331,1.4165021212374871,0.00088008928711731877,0,25,1.4764341995865871,0,1.5304061368856225,0,1.516575661460726,0,1.3823208004134131,0
413.23333333333335,1.3833076344503772,0.0010039653043665774,0,25,1.4450310488424618,0,1.5017174528111641,0,1.4823006019601517,0,1.3510750917560701,0
463.66666666666669,1.3511953528322571,0.0013831660265852387,0,25,1.4118444158878505,0,1.4688952165708122,0,1.4476390141984183,0,1.3189990168943206,0
514.06666666666661,1.3232452189139825,0.0017204904119812012,0,25,1.381513558552717,0,1.4359830307353134,0,1.4177330826092596,0,1.2908245623135781,0
564.4666666666667,1.3001272180587407,0.0018735308568183836,0,25,1.3602851688909885,0,1.4108182657670958,0,1.4014772336719026,0,1.2685600072339671,0
614.86666666666667,1.2751872698481754,0.0022662264932826748,0,25,1.3391955003794862,0,1.3893324704542991,0,1.3831754730022769,0,1.2450785576818821,0
665.26666666666665,1.2553887001851896,0.0026309937264149754,0,25,1.3204356749173263,0,1.3711116056218058,0,1.3657381739152219,0,1.2244572452149514,0
715.66666666666663,1.2307670432577851,0.0031031196275117237,0,25,1.3007046914299023,0,1.3489968217279926,0,1.3494806730321378,0,1.2036365795295763,0
766.06666666666661,1.2148864710827327,0.0031975712234420806,0,25,1.2843230778435299,0,1.3323500886563397,0,1.3312514587503266,0,1.1893676861239231,0
816.4666666666667,1.1968227732767516,0.0039833552454694556,0,25,1.2671271592022537,0,1.3175658298971176,0,1.3115942909488039,0,1.1722213567608393,0
866.89999999999998,1.1782389293029152,0.0042700787747766361,0,25,1.2522778650940132,0,1.3004970094589918,0,1.3006744463029185,0,1.1556621395201292,0
917.29999999999995,1.166512864589526,0.0044854735322922383,0,25,1.2396857534794146,0,1.2880346942112721,0,1.2864517755914096,0,1.1445707906355609,0
967.69999999999993,1.1513591835186874,0.0051345611010931201,0,25,1.2266890061485998,0,1.2756868825565775,0,1.2736405510488789,0,1.1307395848403432,0
1018.1,1.1403037098637057,0.005689229287068563,0,25,1.2156617084929442,0,1.2673843654847263,0,1.260292736469895,0,1.1193080235242117,0
1068.5,1.1294785451082934,0.0058397814787939746,0,25,1.2082910969427547,0,1.2607526275152081,0,1.2526059066448292,0,1.1115147566682264,0
1118.9000000000001,1.1173371066934825,0.0062613653867272757,0,25,1.1960539406262103,0,1.2488775862454196,0,1.239288555724372,0,1.0999956799088388,0
1169.3,1.1092672797670653,0.0064807437273083019,0,25,1.1865315192137749,0,1.2387525004276063,0,1.2282676911399983,0,1.0925743660737195,0
1219.7,1.0964721051333901,0.006990312931533892,0,25,1.1770280372905904,0,1.2294838054439616,0,1.2192882460851029,0,1.0823120603427072,0
1270.1333333333332,1.0805631954985184,0.0077667388391104587,0,25,1.167248980422003,0,1.2206866332930928,0,1.2122208232731473,0,1.0688394846997691,0
1320.5333333333333,1.0724282120400956,0.0083777017391542304,0,25,1.1592643837086027,0,1.2158570050610864,0,1.2031243560051494,0,1.0588117900595719,0
1370.9333333333334,1.061483368982604,0.0086386870095787119,0,25,1.1508838750364716,0,1.2081035887959539,0,1.1941610253355377,0,1.0503870109779225,0
1421.3333333333333,1.0529428474006124,0.0093451769447668309,0,25,1.1416768342518762,0,1.1978064338062853,0,1.1846503380042215,0,1.042573730945122,0
1471.7333333333333,1.0404556076918936,0.010015433532889851,0,25,1.1331064671475812,0,1.1883415487973363,0,1.1754753609689255,0,1.0355024916764812,0
1522.1333333333332,1.0303250323946529,0.010762879079945956,0,25,1.1248904114838822,0,1.1824090779936056,0,1.1646182293491592,0,1.0276439271088822,0
1572.5333333333333,1.021587537577785,0.011623679183453707,0,25,1.1176167349393757,0,1.1762405251081058,0,1.1566966079150416,0,1.0199130717949805,0
1622.9333333333334,1.014641782334861,0.012711414077836072,0,25,1.1115117867852446,0,1.1696035465617811,0,1.1512618550772262,0,1.0136699587167268,0
1673.3333333333333,1.0069016793030849,0.012912439213472937,0,25,1.1060197114043824,0,1.1661250361055777,0,1.1432736207669323,0,1.0086604773406376,0
1723.7666666666667,1.000415354173543,0.013803253051092318,0,25,1.0994951211494208,0,1.1611053463345773,0,1.133371175043026,0,1.0040088420706592,0
1774.1666666666667,0.99391205586491826,0.01419978472218875,0,25,1.0928424772193519,0,1.1557032519962425,0,1.1252415049318929,0,0.99758267472992002,0
