Idx,Gradient,NMR_signal(mean),NMR_signal(noise),NMR_signal(std),SAT_lhs(mean),SAT_lhs(std),SAT_rhs
0,0,455721.16910495597,-12.772620324218025,0,0,0,-0
1,3.9138943248532287,455008.21420235257,8.4334792094906756,0,-0.00156567924855179,0,-0.0013274065798548112
2,7.8277886497064575,452793.23453082988,-10.67656807206366,0,-0.0064455658583575963,0,-0.005309626319419245
3,11.741682974559687,449193.81527715898,27.733264165387858,0,-0.014426696764548044,0,-0.011946659218693307
4,15.655577299412915,444115.29765259661,-3.6093941369255216,0,-0.025796943109423088,0,-0.02123850527767698
5,19.569471624266143,437709.66441994242,2.2471770880914015,0,-0.040325327266432009,0,-0.033185164496370281
6,23.483365949119371,430002.01296540973,13.56658229518869,0,-0.058091261236971892,0,-0.04778663687477322
7,27.397260273972599,421037.16137525713,7.3021251087624037,0,-0.079160052141754866,0,-0.065042922412885729
8,31.311154598825826,410901.03170572495,-8.6046017967531458,0,-0.10352876449849882,0,-0.08495402111070792
9,35.225048923679054,399720.03125701251,5.2006138366673413,0,-0.13111677103767413,0,-0.10751993296823972
10,39.138943248532286,387546.84890619788,6.4337971414733763,0,-0.1620444093399008,0,-0.13274065798548113
11,43.052837573385517,374498.24039484881,10.201081551504224,0,-0.19629404682742307,0,-0.1606161961624322
12,46.966731898238748,360677.35076101788,12.633312536962249,0,-0.23389735774684978,0,-0.19114654749909291
13,50.88062622309198,346195.53749054874,14.068643364037982,0,-0.27487739854480348,0,-0.22433171199546315
14,54.794520547945211,331142.49865580624,-9.434974546613855,0,-0.31933235895994971,0,-0.26017168965154319
15,58.708414872798443,315697.14681421919,6.1609632041950482,0,-0.36709779335439591,0,-0.29866648046733268
16,62.622309197651674,299920.93989351619,7.5737523876255892,0,-0.41836224499171165,0,-0.33981608444283196
17,66.536203522504906,283940.02986837568,7.6748105210897783,0,-0.47311809780054587,0,-0.38362050157804073
