Time,Dsat,Dsat(error),Dsat(std),Dsat(pts),Dmsd,Dmsd(std),DmsdX,DmsdX(std),DmsdY,DmsdY(std),DmsdZ,DmsdZ(std)
10,1.5133811683114307,0.00015459055245842701,0,92,1.599179125,0,1.6174876250000001,0,1.6652598749999998,0,1.514789875,0
60.43333333333333,1.1086791424013307,0.00046864748561075542,0,50,1.1658324048538335,0,1.1688193601765031,0,1.2403108452840597,0,1.0883670091009376,0
110.83333333333333,0.99073235925353542,0.00058438418382377778,0,41,1.0225697142857144,0,1.0130245714285715,0,1.1005779812030076,0,0.95410659022556399,0
161.23333333333332,0.91657076139621363,0.00071416969387566771,0,37,0.93804635104403566,0,0.92717085486872042,0,1.0177833445317348,0,0.86918485373165189,0
211.63333333333333,0.87228247760357591,0.00074448183585545372,0,34,0.88355752480705618,0,0.87287721097810689,0,0.96031293510789106,0,0.81748242833517093,0
262.0333333333333,0.84436040601452511,0.0010000414305164405,0,32,0.83913551551965404,0,0.82731136146800666,0,0.91117486165882211,0,0.77892032343213347,0
312.43333333333334,0.81051785152591516,0.00090981636226328169,0,31,0.80315110556918812,0,0.7940754867705111,0,0.87119082204203568,0,0.74418700789501757,0
362.83333333333331,0.78489629778276293,0.00087466955121616539,0,29,0.77197845314653191,0,0.76340079811667427,0,0.84032092214056042,0,0.71221363918236102,0
413.23333333333335,0.76768389572637608,0.0010886374032209245,0,28,0.74778020589658789,0,0.73739512382027916,0,0.81518235056868593,0,0.69076314330079858,0
463.66666666666669,0.75147366757103184,0.001067176450646602,0,27,0.72794901509705245,0,0.7157531344356578,0,0.79340433321351533,0,0.67468957764198423,0
514.06666666666661,0.73337822847290524,0.0014289914132160297,0,27,0.71033340438983272,0,0.69730458273894447,0,0.77573690020749586,0,0.65795873022305806,0
564.4666666666667,0.71853574095161643,0.0011075713158139268,0,26,0.69457440061414899,0,0.6790250848883902,0,0.75964228770520847,0,0.64505582924884841,0
614.86666666666667,0.70366502246503859,0.0013291856247170286,0,26,0.68028032161444218,0,0.66491583608912497,0,0.74435157418952624,0,0.63157355456467523,0
665.26666666666665,0.70377538710101795,0.0015010147070286535,0,25,0.66687893138089982,0,0.65257470688445729,0,0.72779041361859909,0,0.6202716736396432,0
715.66666666666663,0.67969325818441317,0.001512143887101286,0,25,0.65463555251513739,0,0.64156700687005119,0,0.71605149627387055,0,0.60628815440149042,0
766.06666666666661,0.67046935951186459,0.0012219254492374535,0,25,0.64202349773735978,0,0.62988205660952057,0,0.70387763195109232,0,0.59231080465146635,0
816.4666666666667,0.65996071280583479,0.0019885246382825212,0,25,0.63212553329386778,0,0.61916156456683269,0,0.69359048491467301,0,0.58362455040009797,0
866.89999999999998,0.64046505893192462,0.0024880808767903375,0,25,0.62226088312761951,0,0.61010326162187112,0,0.68471541844503403,0,0.57196396931595339,0
917.29999999999995,0.63220515414792189,0.0029400121448707548,0,25,0.61343596742250817,0,0.6012405742396163,0,0.67533668783386025,0,0.56373064019404784,0
967.69999999999993,0.62627109244884305,0.0051046751083457702,0,25,0.60442385510316554,0,0.59235608401364059,0,0.6669630644827943,0,0.55395241681306195,0
1018.1,0.60930016237544016,0.003657881802680753,0,25,0.59737895507972361,0,0.583653650181711,0,0.66083172453590022,0,0.5476514905215597,0
1068.5,0.60908633026890424,0.0045825373430616601,0,25,0.59009213617220402,0,0.57598359265325216,0,0.65247594525035091,0,0.54181687061300887,0
1118.9000000000001,0.59525016504395944,0.0043387365821839349,0,25,0.5828967069592158,0,0.56803030208240235,0,0.6448888797032799,0,0.53577093909196527,0
1169.3,0.59507557435967251,0.0049671898174748963,0,25,0.57692346988226573,0,0.56174575600786802,0,0.64000290451552211,0,0.52902174912340716,0
1219.7,0.57245156777616635,0.0055824715330086835,0,25,0.57165864556858248,0,0.5553788216364679,0,0.63389195908830043,0,0.525705155980979,0
1270.1333333333332,0.58484157223511524,0.0073056603471868915,0,25,0.56637951461788794,0,0.54980377978689909,0,0.62910495223598584,0,0.52022981183077899,0
1320.5333333333333,0.55711851265836076,0.0052485312349991268,0,25,0.56165687664075126,0,0.54545188812600975,0,0.62403880629038766,0,0.51547993550585613,0
1370.9333333333334,0.56387020682872069,0.0097336930993274784,0,25,0.55642022375267453,0,0.54024251635139076,0,0.6183766184229722,0,0.51064153648366073,0
1421.3333333333333,0.54138678419000519,0.0076921782642207677,0,25,0.55136671523217629,0,0.53310954385553477,0,0.6136308261022515,0,0.50735977573874302,0
1471.7333333333333,0.5275114641844727,0.0075715945193220984,0,25,0.54743725907093677,0,0.53056956196774774,0,0.60863602696367092,0,0.50310618828139153,0
1522.1333333333332,0.55076821788608921,0.010689969116979472,0,25,0.54326611553959359,0,0.52579926473808691,0,0.6039727416564471,0,0.50002634022424675,0
1572.5333333333333,0.52270017645815148,0.013250225101295169,0,25,0.5386442743662031,0,0.52111119769586223,0,0.59929333214982194,0,0.49552829325292519,0
1622.9333333333334,0.54660844100207506,0.015964539834588759,0,25,0.534478307026372,0,0.51649769450377914,0,0.59501722215946429,0,0.49192000441587247,0
1673.3333333333333,0.53897668898767181,0.0190031806126045,0,25,0.53107013321713148,0,0.51277463919322708,0,0.5913117213645418,0,0.48912403909362551,0
1723.7666666666667,0.55265366572305885,0.025392581215858832,0,25,0.52786276903293172,0,0.50856100013536243,0,0.58819545061203182,0,0.48683185635140097,0
1774.1666666666667,0.51586423502546852,0.01518466007557941,0,25,0.52378172076092067,0,0.50530084030061062,0,0.58230690535462659,0,0.48373741662752467,0
