Time,Dsat,Dsat(error),Dsat(std),Dsat(pts),Dmsd,Dmsd(std),DmsdX,DmsdX(std),DmsdY,DmsdY(std),DmsdZ,DmsdZ(std)
10,2.4531893460574632,1.1030604465862663e-05,0,75,2.44756485,0,2.4445398749999998,0,2.4527875406250002,0,2.4453671343750001,0
10.433333333333334,2.4514056966514808,1.2259011760582436e-05,0,73,2.4470244029552712,0,2.4454421974840255,0,2.4518002775559107,0,2.4438307338258785,0
10.875,2.4501532314721213,1.2585695884807251e-05,0,72,2.4459367701149426,0,2.4445477126436779,0,2.4503888275862069,0,2.4428737701149426,0
11.333333333333334,2.4495615428895436,1.1900875965642925e-05,0,71,2.4455114742647059,0,2.4444949852941176,0,2.4498761029411762,0,2.4421633345588236,0
11.816666666666666,2.447536455462358,9.9478582360313976e-06,0,70,2.4445231179478135,0,2.4443701639633284,0,2.4489213416784201,0,2.4402778482016925,0
12.324999999999999,2.4464375127261762,1.6752121094534399e-05,0,69,2.4431459550371875,0,2.4421075760649091,0,2.4479589477687629,0,2.4393713412778908,0
12.85,2.4454077523389093,1.5200923574134385e-05,0,67,2.4418355982490274,0,2.439557317607004,0,2.4471420476653698,0,2.4388074294747084,0
13.391666666666666,2.4428891930220815,1.6959759540846631e-05,0,66,2.4399263534536404,0,2.4363217882700683,0,2.4470859824206599,0,2.436371289670193,0
13.966666666666667,2.4414939710948889,1.1918959160051326e-05,0,65,2.4391189118436754,0,2.4358339506264919,0,2.4457290796539377,0,2.4357937052505969,0
14.558333333333334,2.4404050031220952,1.2907941545531815e-05,0,64,2.4386244526330856,0,2.4363659244419007,0,2.4447598390097309,0,2.4347475944476242,0
15.183333333333334,2.4390918491213474,1.3431205722420704e-05,0,63,2.4369449663830958,0,2.4350967316136112,0,2.4422461004390779,0,2.4334920670965974,0
15.824999999999999,2.4379422659558041,1.2111986841572975e-05,0,62,2.4362461091363881,0,2.4343419727488151,0,2.441631034755134,0,2.4327653199052133,0
16.5,2.4367545100788943,1.4507677702512596e-05,0,61,2.4350286123737375,0,2.4335106212121214,0,2.4399322064393938,0,2.4316430094696968,0
17.199999999999999,2.4360547389312814,1.4422318083406625e-05,0,60,2.4343425236191862,0,2.433561073764535,0,2.4381694767441862,0,2.4312970203488371,0
17.933333333333334,2.4346239678185704,1.3331341824441829e-05,0,59,2.4328846073420074,0,2.4324932185176578,0,2.4361180709804833,0,2.4300425325278812,0
18.699999999999999,2.4335065868972143,1.5487354480031756e-05,0,58,2.4308463753342249,0,2.430032174131016,0,2.4338929846256687,0,2.4286139672459894,0
19.491666666666667,2.4339099721101656,1.6920046023619754e-05,0,57,2.4302406551945275,0,2.4286884282813168,0,2.4327400619923041,0,2.4292934753099615,0
20.324999999999999,2.432253949087325,1.5911165890070653e-05,0,56,2.4285918158056585,0,2.4266860362853633,0,2.4311493865313656,0,2.4279400246002463,0
21.191666666666666,2.4303537288499983,1.6539101710020108e-05,0,55,2.426868600078647,0,2.4241827310263471,0,2.4296896952418403,0,2.4267333739677546,0
22.091666666666665,2.4292120979177421,1.3512126160161149e-05,0,54,2.4253258666540929,0,2.4228436759713321,0,2.4279593464730289,0,2.4251745775179181,0
23.033333333333331,2.4285988530927924,2.2798914696880299e-05,0,53,2.4239185890014472,0,2.4214691800832129,0,2.426115355463097,0,2.4241712314580321,0
24.016666666666666,2.4261025542479757,1.2860686544809981e-05,0,52,2.4224348828938238,0,2.4205267921582236,0,2.4248409954024983,0,2.4219368611207495,0
25.033333333333331,2.4237654057867872,1.9079301073150285e-05,0,52,2.4201119224367513,0,2.4187810523468709,0,2.4209414255992012,0,2.4206132893641814,0
26.099999999999998,2.4238895700159628,1.0677434879556348e-05,0,51,2.4194566355363984,0,2.4185440457375482,0,2.4195274616858242,0,2.4202983991858238,0
27.216666666666665,2.4231896992754529,1.1913109685303576e-05,0,50,2.4181620625382734,0,2.4167913414727495,0,2.417986629286589,0,2.4197082168554811,0
28.375,2.4213938453013641,1.3074138255188196e-05,0,49,2.4171217265051395,0,2.4162730914096913,0,2.4173548656387669,0,2.4177372224669602,0
29.583333333333332,2.4203546389619452,1.563533557122537e-05,0,48,2.416666546830986,0,2.4159681232394368,0,2.4173239161971831,0,2.4167076010563382,0
30.841666666666665,2.4168128537331754,1.4581646135338552e-05,0,48,2.415140236760335,0,2.4154973172791139,0,2.4163116894082681,0,2.4136117035936233,0
32.158333333333331,2.4142422185484835,1.5106928437576923e-05,0,47,2.4133418129696813,0,2.4145924928738016,0,2.4145323296190724,0,2.4109006164161699,0
33.524999999999999,2.4143421193290036,2.0053368327721248e-05,0,46,2.4125232581406912,0,2.4125562956748698,0,2.4146245479120063,0,2.4103889308351976,0
34.950000000000003,2.4122057691726746,2.2518234706910777e-05,0,46,2.411683038865045,0,2.413227744098712,0,2.4129638260014303,0,2.4088575464949926,0
36.441666666666663,2.4103934104723033,1.6458896876133667e-05,0,45,2.4092109541504692,0,2.4104060416190261,0,2.4099352858449579,0,2.4072915349874231,0
37.991666666666667,2.4100316779762903,2.5374567313842342e-05,0,44,2.4075728778240841,0,2.4079190993090589,0,2.4082405044966002,0,2.4065590296665933,0
39.608333333333334,2.407619058706584,2.1125769181609389e-05,0,43,2.4052194437723542,0,2.4056514551335999,0,2.4057599376709446,0,2.4042469385125185,0
41.299999999999997,2.4055054576320125,1.7459928289238335e-05,0,43,2.4039621610169495,0,2.4038434095036321,0,2.4051627444007266,0,2.4028803291464893,0
