   1.8000000000000000e+01   6.5038450166036403e+00   8.4313646455277313e-01   2.5352753259196486e-02
   3.2000000000000000e+01   8.6717933554715216e+00   8.0495669232528855e-01   1.0214560967496207e-02
   6.2000000000000000e+01   1.2070625501605129e+01   7.0318556751487826e-01   3.3609946720800470e-02
   8.4000000000000000e+01   1.4049911031746786e+01   6.4443287450531272e-01   3.7316258597396894e-02
   1.1500000000000000e+02   1.6439282222773599e+01   6.4961070151254230e-01   3.1830761588721369e-02
   1.6100000000000000e+02   1.9451221041363961e+01   5.5951715891109310e-01   5.0217825458523248e-02
   2.2800000000000000e+02   2.3147354060453651e+01   5.6537157785721337e-01   4.7164242222816913e-02
   3.2500000000000000e+02   2.7636027210870960e+01   5.8467562695424125e-01   4.2178194959806896e-02
   4.6800000000000000e+02   3.3163232653045149e+01   6.4001036474923645e-01   2.9245211359741105e-02
   5.6300000000000000e+02   3.6373754274201616e+01   6.0455330303250721e-01   3.2086304711826420e-02
   6.7800000000000000e+02   3.9916162140165738e+01   6.6685954798519909e-01   1.7361650014304307e-02
   9.1600000000000000e+02   4.6396120527475141e+01   6.1999277715287882e-01   2.4623863385496044e-02
   1.2160000000000000e+03   5.3456524391321970e+01   6.3977065236693376e-01   2.0701487566127986e-02
   1.6160000000000000e+03   6.1624670384514033e+01   6.4737566736860719e-01   1.4334615161626089e-02
   2.0160000000000000e+03   6.8830225918559947e+01   6.4056823740176039e-01   1.2776162452174594e-02
