Id,Gx,Gy,Gz,Kx,Ky,Kz
0,0,0,0,0,0,0
1,0,0,3.9138943248532287,0,0,0.0010470172118922821
2,0,0,7.8277886497064575,0,0,0.0020940344237845641
3,0,0,11.741682974559687,0,0,0.0031410516356768468
4,0,0,15.655577299412915,0,0,0.0041880688475691282
5,0,0,19.569471624266143,0,0,0.0052350860594614105
6,0,0,23.483365949119371,0,0,0.0062821032713536928
7,0,0,27.397260273972599,0,0,0.0073291204832459734
8,0,0,31.311154598825826,0,0,0.0083761376951382565
9,0,0,35.225048923679054,0,0,0.0094231549070305388
10,0,0,39.138943248532286,0,0,0.010470172118922821
11,0,0,43.052837573385517,0,0,0.011517189330815103
12,0,0,46.966731898238748,0,0,0.012564206542707387
13,0,0,50.88062622309198,0,0,0.013611223754599668
14,0,0,54.794520547945211,0,0,0.014658240966491954
15,0,0,58.708414872798443,0,0,0.015705258178384234
16,0,0,62.622309197651674,0,0,0.01675227539027652
17,0,0,66.536203522504906,0,0,0.017799292602168802
18,0,0,70.450097847358137,0,0,0.018846309814061084
19,0,0,74.363992172211368,0,0,0.019893327025953367
20,0,0,78.2778864970646,0,0,0.020940344237845649
21,0,0,82.191780821917831,0,0,0.021987361449737931
22,0,0,86.105675146771063,0,0,0.023034378661630217
23,0,0,90.019569471624294,0,0,0.024081395873522496
24,0,0,93.933463796477525,0,0,0.025128413085414782
25,0,0,97.847358121330757,0,0,0.026175430297307067
26,0,0,101.76125244618399,0,0,0.02722244750919935
27,0,0,105.67514677103722,0,0,0.028269464721091628
28,0,0,109.58904109589045,0,0,0.029316481932983911
29,0,0,113.50293542074368,0,0,0.030363499144876193
30,0,0,117.41682974559691,0,0,0.031410516356768475
31,0,0,121.33072407045015,0,0,0.032457533568660761
32,0,0,125.24461839530338,0,0,0.033504550780553047
33,0,0,129.15851272015661,0,0,0.034551567992445326
34,0,0,133.07240704500984,0,0,0.035598585204337611
35,0,0,136.98630136986307,0,0,0.03664560241622989
36,0,0,140.9001956947163,0,0,0.037692619628122176
37,0,0,144.81409001956953,0,0,0.038739636840014462
38,0,0,148.72798434442277,0,0,0.03978665405190674
39,0,0,152.641878669276,0,0,0.040833671263799019
40,0,0,156.55577299412923,0,0,0.041880688475691305
41,0,0,160.46966731898246,0,0,0.042927705687583591
42,0,0,164.38356164383569,0,0,0.043974722899475877
43,0,0,168.29745596868892,0,0,0.045021740111368155
44,0,0,172.21135029354215,0,0,0.046068757323260434
45,0,0,176.12524461839539,0,0,0.04711577453515272
46,0,0,180.03913894324862,0,0,0.048162791747045006
47,0,0,183.95303326810185,0,0,0.049209808958937291
48,0,0,187.86692759295508,0,0,0.05025682617082957
49,0,0,191.78082191780831,0,0,0.051303843382721849
50,0,0,195.69471624266154,0,0,0.052350860594614135
51,0,0,199.60861056751477,0,0,0.053397877806506414
52,0,0,203.522504892368,0,0,0.054444895018398699
53,0,0,207.43639921722124,0,0,0.055491912230290978
54,0,0,211.35029354207447,0,0,0.056538929442183271
55,0,0,215.2641878669277,0,0,0.057585946654075557
56,0,0,219.17808219178093,0,0,0.058632963865967835
57,0,0,223.09197651663416,0,0,0.059679981077860114
58,0,0,227.00587084148739,0,0,0.0607269982897524
59,0,0,230.91976516634062,0,0,0.061774015501644679
60,0,0,234.83365949119386,0,0,0.062821032713536964
61,0,0,238.74755381604709,0,0,0.063868049925429243
62,0,0,242.66144814090032,0,0,0.064915067137321522
63,0,0,246.57534246575355,0,0,0.065962084349213801
64,0,0,250.48923679060678,0,0,0.067009101561106107
65,0,0,254.40313111546001,0,0,0.068056118772998386
66,0,0,258.31702544031322,0,0,0.069103135984890651
67,0,0,262.23091976516645,0,0,0.07015015319678293
68,0,0,266.14481409001968,0,0,0.071197170408675223
69,0,0,270.05870841487291,0,0,0.072244187620567502
70,0,0,273.97260273972614,0,0,0.07329120483245978
71,0,0,277.88649706457937,0,0,0.074338222044352073
72,0,0,281.8003913894326,0,0,0.075385239256244352
73,0,0,285.71428571428584,0,0,0.076432256468136631
74,0,0,289.62818003913907,0,0,0.077479273680028923
75,0,0,293.5420743639923,0,0,0.078526290891921202
76,0,0,297.45596868884553,0,0,0.079573308103813481
77,0,0,301.36986301369876,0,0,0.08062032531570576
78,0,0,305.28375733855199,0,0,0.081667342527598039
79,0,0,309.19765166340522,0,0,0.082714359739490331
80,0,0,313.11154598825846,0,0,0.08376137695138261
81,0,0,317.02544031311169,0,0,0.084808394163274903
82,0,0,320.93933463796492,0,0,0.085855411375167182
83,0,0,324.85322896281815,0,0,0.08690242858705946
84,0,0,328.76712328767138,0,0,0.087949445798951753
85,0,0,332.68101761252461,0,0,0.088996463010844032
86,0,0,336.59491193737784,0,0,0.090043480222736311
87,0,0,340.50880626223108,0,0,0.09109049743462859
88,0,0,344.42270058708431,0,0,0.092137514646520868
89,0,0,348.33659491193754,0,0,0.093184531858413161
90,0,0,352.25048923679077,0,0,0.09423154907030544
91,0,0,356.164383561644,0,0,0.095278566282197732
92,0,0,360.07827788649723,0,0,0.096325583494090011
93,0,0,363.99217221135046,0,0,0.09737260070598229
94,0,0,367.9060665362037,0,0,0.098419617917874583
95,0,0,371.81996086105693,0,0,0.099466635129766862
96,0,0,375.73385518591016,0,0,0.10051365234165914
97,0,0,379.64774951076339,0,0,0.10156066955355142
98,0,0,383.56164383561662,0,0,0.1026076867654437
99,0,0,387.47553816046985,0,0,0.10365470397733599
100,0,0,391.38943248532308,0,0,0.10470172118922827
101,0,0,395.30332681017632,0,0,0.10574873840112056
