Time,Dsat,Dsat(error),Dsat(std),Dsat(pts),Dmsd,Dmsd(std),DmsdX,DmsdX(std),DmsdY,DmsdY(std),DmsdZ,DmsdZ(std)
10,1.2640880982099298,0.00033099195989848886,0,100,1.3364716562500001,0,1.40024646875,0,1.39276125,0,1.2164072500000001,0
60.408333333333331,1.0908814961866018,0.00051525088957621226,0,50,0.96373915884949646,0,1.0196613774313699,0,0.99159901883018353,0,0.87995708028693609,0
110.80833333333334,1.0786649662509693,0.00081144375461680927,0,40,0.84226767033917427,0,0.88700489208092048,0,0.86202215913363911,0,0.7777759598029631,0
161.21666666666667,1.0648052368082985,0.00071053877901041534,0,35,0.77218439729142974,0,0.80993371497984079,0,0.79136231391502121,0,0.71525716297942721,0
211.61666666666667,1.0571884043336215,0.0011220830141273378,0,32,0.71931878790265413,0,0.7538740657241868,0,0.73583561471213665,0,0.66824668327163894,0
262.02499999999998,1.0308258318826513,0.0014113415762633387,0,30,0.68213417970613499,0,0.71435768891327178,0,0.6987512904303026,0,0.63329355977483071,0
312.42500000000001,1.0197832205998172,0.0021515545697711178,0,28,0.6509450784855032,0,0.68492644534688329,0,0.66523648075538133,0,0.60267230935424498,0
362.83333333333331,1.0017078353544024,0.0027770094797287446,0,27,0.62477759215663753,0,0.65475862999540657,0,0.63709096147220956,0,0.58248318500229679,0
413.23333333333335,0.94412038774297768,0.0041973992419499463,0,27,0.60279637462692581,0,0.630208121672582,0,0.6144827528837622,0,0.56369824932443324,0
463.64166666666665,1.0123240855379589,0.0060948313393484723,0,25,0.58564569328863891,0,0.61049066695724075,0,0.59668071112748711,0,0.54976570178118878,0
514.04166666666663,0.93128051119566724,0.0052974771822379106,0,25,0.5680954772229877,0,0.58903667423198514,0,0.579309555402448,0,0.5359402020345303,0
564.45000000000005,0.91486040242785904,0.0060111413663335601,0,25,0.55329791925030258,0,0.57413411838958284,0,0.56497844693949861,0,0.52078119242182652,0
614.85000000000002,0.91996668814657145,0.0095671900103278598,0,25,0.54056143791846245,0,0.56113819173375612,0,0.55059276703667559,0,0.50995335498495564,0
665.25833333333333,0.86554900421340975,0.0085676974560060168,0,25,0.5274115135411056,0,0.54750317874635168,0,0.53783415011085922,0,0.49689721176610591,0
715.6583333333333,0.89467213349588448,0.014165703242024737,0,25,0.5182106893128704,0,0.53768685446966091,0,0.5278648132838063,0,0.4890804001851442,0
766.06666666666661,0.89699598228363409,0.020057352746851831,0,25,0.50928372068357841,0,0.5265088491808807,0,0.5203809527565052,0,0.48096136011334956,0
816.4666666666667,0.91539199882081568,0.029992622938438948,0,25,0.50035332976953539,0,0.51599913996795133,0,0.51371475093390218,0,0.47134609840675268,0
866.875,0.87901487635566788,0.033026031834306351,0,25,0.4912346550108147,0,0.50712165969718825,0,0.50277156957462155,0,0.46381073576063447,0
917.27499999999998,0.74139523389520945,0.029490010240194774,0,25,0.48249296058070557,0,0.4981065070453245,0,0.49304915612820582,0,0.45632321856858632,0
967.68333333333328,0.85012971203896537,0.047324931489433439,0,25,0.47451874698592866,0,0.49013861822049226,0,0.48419749982776733,0,0.44922012290952623,0
1018.0833333333334,1.0107030058866766,0.079917535392444866,0,25,0.46712000081853156,0,0.48076790404763853,0,0.47697978001964475,0,0.44361231838831139,0
1068.4916666666666,0.73688804708632916,0.082493812121157958,0,25,0.46115443976711723,0,0.47460089378329268,0,0.47093103771671907,0,0.43793138780133994,0
1118.8916666666667,0.71026035517371811,0.073415549807577543,0,25,0.45533746006092335,0,0.46851955990675292,0,0.46342783427796858,0,0.43406498599804866,0
1169.3,1.1728702490726133,0.1514599639408318,0,25,0.44952619587217424,0,0.46269714599546735,0,0.45745439766313178,0,0.42842704395792358,0
1219.7,0.38635904356077438,0.1511900691470412,0,27,0.44351677401888434,0,0.45582839530212343,0,0.45109743763835364,0,0.42362448911617612,0
1270.1083333333333,1.3061150019979746,0.17641072254250886,0,25,0.43822383376089968,0,0.45022621446333322,0,0.44607908077066921,0,0.41836620604869662,0
1320.5083333333332,1.2414119620911961,0.22679763356712265,0,25,0.43311270651769213,0,0.44463636170729709,0,0.4409765547200889,0,0.41372520312569033,0
1370.9166666666667,0.54951969390433975,0.36658979784743345,0,26,0.42943072541182908,0,0.44081700337365509,0,0.43705119871132453,0,0.41042397415050752,0
1421.3166666666666,0.52152921004613706,0.47870185715271829,0,27,0.42512986586674328,0,0.43756090670036002,0,0.43147388967389394,0,0.40635480122597589,0
1471.7249999999999,0.24848368942602117,0.59556664948535787,0,33,0.42093928213490978,0,0.43330617111722641,0,0.42693564503388881,0,0.40257603025361394,0
1522.125,0.93528164307109252,0.5677541617083276,0,25,0.41689225616599601,0,0.42858024143877804,0,0.42270545290301392,0,0.39939107415619612,0
1572.5333333333333,3.3857534494872588,4.6623950335831097,0,25,0.41301215925470575,0,0.42447041298806598,0,0.41929806396525776,0,0.39526800081079366,0
1622.9333333333334,5.5074992267098546,5.1420592740174245,0,25,0.40915744549478311,0,0.42016761355467469,0,0.41655954752711138,0,0.39074517540256326,0
1673.3333333333333,3.2106422311146035,2.7041216769062379,0,25,0.40540785588894424,0,0.41705092137699201,0,0.41174485420816737,0,0.38742779208167333,0
1723.7416666666666,3.4384329255376636,4.6123784222452713,0,25,0.40195250194586396,0,0.41339602953120397,0,0.40785075199783416,0,0.38461072430855364,0
1774.1416666666667,3.8474883857149291,6.8318117037313115,0,25,0.39886085971150365,0,0.41027976721137455,0,0.40482966164389356,0,0.381473150279243,0
