Idx,Gradient,NMR_signal(mean),NMR_signal(noise),NMR_signal(std),SAT_lhs(mean),SAT_lhs(std),SAT_rhs
0,0,962164.19347041973,11.267771627640883,0,0,0,-0
1,3.9138943248532287,962069.86929157202,3.3912395851931527,0,-9.8038155283278029e-05,0,-4.3411303663148041e-05
2,7.8277886497064575,961802.0926521041,-5.0901966685619584,0,-0.00037641077726034938,0,-0.00017364521465259216
3,11.741682974559687,961371.2470353106,-3.9362211968231047,0,-0.00082446776215112016,0,-0.00039070173296833248
4,15.655577299412915,960764.93510300887,-5.782637009456197,0,-0.0014553408064705712,0,-0.00069458085861036866
5,19.569471624266143,959992.63743031921,-1.4824103211207849,0,-0.0022595002957805162,0,-0.0010852825915787011
6,23.483365949119371,959042.74552424077,-3.0723430396015545,0,-0.003249468476766756,0,-0.0015628069318733297
7,27.397260273972599,957929.09990142274,2.7654015245534218,0,-0.0044113486063652417,0,-0.0021271538794942536
8,31.311154598825826,956642.54838371684,6.2620778096992691,0,-0.0057553063658026433,0,-0.0027783234344414746
9,35.225048923679054,955174.27603110299,-2.1071390400672443,0,-0.0072913035623293062,0,-0.0035163155967149915
10,39.138943248532286,953555.4701931458,8.0425540285311978,0,-0.0089875166897108779,0,-0.0043411303663148043
11,43.052837573385517,951758.50473419926,8.1905537961038597,0,-0.010873784271216484,0,-0.0052527677432409135
12,46.966731898238748,949799.33717623411,13.308818107482072,0,-0.01293437712620174,0,-0.0062512277274933198
13,50.88062622309198,947654.48595974734,-1.1599658430447015,0,-0.015195145850979605,0,-0.0073365103190720206
14,54.794520547945211,945349.8446842772,-10.487151958566336,0,-0.017630050385323469,0,-0.0085086155179770213
15,58.708414872798443,942884.78810281819,-16.551071368067745,0,-0.020241016140365383,0,-0.009767543324208313
16,62.622309197651674,940268.70067545667,-11.307330290872621,0,-0.023019429186221813,0,-0.011113293737765907
17,66.536203522504906,937497.27943062095,-0.48472273241307706,0,-0.025971259485151148,0,-0.012545866758649793
18,70.450097847358137,934537.68824290531,-18.429650584021495,0,-0.029133159454498618,0,-0.014065262386859977
19,74.363992172211368,931461.41296593426,4.750385634502301,0,-0.032430350821790625,0,-0.015671480622396455
20,78.2778864970646,928196.27438192873,-4.7988146524805417,0,-0.035941902395415865,0,-0.017364521465259231
21,82.191780821917831,924790.54008099635,-0.56475305392588127,0,-0.039617846670212307,0,-0.019144384915448301
22,86.105675146771063,921221.21426294011,-7.3768418388786241,0,-0.043484918759763388,0,-0.021011070972963671
23,90.019569471624294,917523.75879738224,8.3163115681966921,0,-0.04750664064437303,0,-0.022964579637805328
24,93.933463796477525,913631.0053237821,-22.639275300491668,0,-0.051758339532923206,0,-0.025004910909973296
25,97.847358121330757,909639.4553065144,-5.8011222166274443,0,-0.056136797342944363,0,-0.027132064789467562
26,101.76125244618399,905493.12208288838,0.71360475519407152,0,-0.060705433802099633,0,-0.02934604127628811
27,105.67514677103722,901201.21704031236,3.9161714253845581,0,-0.065456556361266058,0,-0.031646840370434949
28,109.58904109589045,896742.97647746804,-19.224906686342774,0,-0.0704158311999728,0,-0.034034462071908092
29,113.50293542074368,892190.62863961339,1.1851808276942815,0,-0.075505296400157296,0,-0.036508906380707536
30,117.41682974559691,887476.51073535532,-4.9133833510889264,0,-0.080803061162580278,0,-0.039070173296833273
31,121.33072407045015,882653.71293239831,13.11106028341629,0,-0.086252162784552722,0,-0.041718262820285318
32,125.24461839530338,877691.82368522603,22.329130136631857,0,-0.091889581444571294,0,-0.044453174951063656
33,129.15851272015661,872581.08503771061,10.407903490284497,0,-0.097729531485720347,0,-0.047274909689168268
34,133.07240704500984,867344.75961553119,-2.019853435184142,0,-0.1037485710293799,0,-0.050183467034599201
35,136.98630136986307,862003.21146649681,2.7274300478085505,0,-0.10992611912889806,0,-0.053178846987356407
36,140.9001956947163,856556.79500295233,22.27138154934859,0,-0.1162644892494044,0,-0.05626104954743992
37,144.81409001956953,850957.62579377508,5.9468196661128694,0,-0.12282278147801635,0,-0.059430074714849741
38,148.72798434442277,845267.45795486378,12.681515800291994,0,-0.12953201981922832,0,-0.062685922489585849
39,152.641878669276,839433.10480322363,-13.580754017592209,0,-0.13645832661253521,0,-0.066028592871648237
40,156.55577299412923,833511.43041961954,-18.886225145427652,0,-0.14353769952722814,0,-0.069458085861036939
41,160.46966731898246,827506.75174020033,-1.8666106376978941,0,-0.1507678489642445,0,-0.072974401457751942
42,164.38356164383569,821406.25557803048,21.680380226329401,0,-0.15816729814018324,0,-0.076577539661793245
43,168.29745596868892,815162.47117119259,1.2660650078681521,0,-0.16579767088147124,0,-0.080267500473160822
44,172.21135029354215,808852.80046753958,11.243559986892857,0,-0.17356816733220631,0,-0.084044283891854685
45,176.12524461839539,802444.02121988533,15.31337179022464,0,-0.18152301830293124,0,-0.08790788991787489
46,180.03913894324862,795922.91307113413,-2.8480145846623617,0,-0.18968277710548601,0,-0.091858318551221382
47,183.95303326810185,789323.08089685673,-12.762286647243332,0,-0.19800939686204744,0,-0.095895569791894147
48,187.86692759295508,782668.77466516348,6.673062810936365,0,-0.20647552975445804,0,-0.10001964363989321
49,191.78082191780831,775903.62272401142,-4.0794715724282051,0,-0.21515680043537116,0,-0.10423054009521857
50,195.69471624266154,769080.18729143741,4.3605831570754567,0,-0.22398987655412944,0,-0.10852825915787025
51,199.60861056751477,762174.81925912283,5.1489750416196909,0,-0.23300916441140118,0,-0.11291280082784817
52,203.522504892368,755180.90217776946,-11.536804386279968,0,-0.24222778930316261,0,-0.11738416510515244
53,207.43639921722124,748160.66450817627,13.317201172264436,0,-0.25156736835165328,0,-0.12194235198978298
54,211.35029354207447,741031.30085821566,-6.3148955118657284,0,-0.26114224960678006,0,-0.12658736148173985
55,215.2641878669277,733884.71008171793,18.24171040079845,0,-0.2708331698405736,0,-0.13131919358102304
56,219.17808219178093,726642.41335819673,5.2830116551833193,0,-0.28075062493937847,0,-0.13613784828763245
57,223.09197651663416,719369.5875191947,16.761908336467645,0,-0.29080985980257784,0,-0.14104332560156815
58,227.00587084148739,712029.19191515271,12.41744231375616,0,-0.30106620493249925,0,-0.1460356255228302
59,230.91976516634062,704623.19194745179,-8.9993309767567293,0,-0.31152193496481423,0,-0.1511147480514185
60,234.83365949119386,697196.34737462935,-5.9347267554207415,0,-0.32211804074490574,0,-0.15628069318733315
61,238.74755381604709,689715.69296080223,-14.549505325868532,0,-0.33290564189224475,0,-0.16153346093057402
62,242.66144814090032,682223.63320517831,4.3780999876901205,0,-0.34382760336594603,0,-0.16687305128114127
63,246.57534246575355,674677.34694331349,4.8591899192321746,0,-0.35495054332131387,0,-0.17229946423903475
64,250.48923679060678,667089.65712719481,-3.4338535784463802,0,-0.36626066002101487,0,-0.17781269980425468
65,254.40313111546001,659493.71226359438,9.516197336567835,0,-0.37771267736905784,0,-0.18341275797680073
66,258.31702544031322,651868.64481832203,19.731904353967447,0,-0.38934203875755569,0,-0.18909963875667307
67,262.23091976516645,644188.00792297663,-2.320091008282668,0,-0.40119449411742297,0,-0.19487334214387173
68,266.14481409001968,636525.05407494237,13.551625628285899,0,-0.41316133590762105,0,-0.2007338681383968
69,270.05870841487291,628813.31865167303,-2.1512990513738073,0,-0.42535069343233312,0,-0.20668121674024806
70,273.97260273972614,621106.81249397981,1.5774929610576682,0,-0.43768204744633882,0,-0.21271538794942563
71,277.88649706457937,613377.97259888204,-5.7983913899555359,0,-0.45020377468713146,0,-0.21883638176592957
72,281.8003913894326,605664.0481568526,10.029733430695593,0,-0.46285965901749127,0,-0.22504419818975968
73,285.71428571428584,597923.96672523301,5.0835436844525042,0,-0.47572151546236097,0,-0.23133883722091617
74,289.62818003913907,590185.29879650101,4.0639583970074558,0,-0.48874856203661499,0,-0.23772029885939897
75,293.5420743639923,582442.56878113945,-1.3362500827440629,0,-0.50195452917286643,0,-0.24418858310520805
76,297.45596868884553,574704.53566120355,-5.1502320005833733,0,-0.51532905767815995,0,-0.2507436899583434
77,301.36986301369876,566990.59322947485,9.2646913365597321,0,-0.52884240221891243,0,-0.257385619418805
78,305.28375733855199,559260.00121472357,-1.5403938431211359,0,-0.5425706319116953,0,-0.26411437148659295
79,309.19765166340522,551563.40996321465,10.42008122682172,0,-0.55642830603281601,0,-0.27092994616170724
80,313.11154598825846,543861.89792864956,3.6049907239117829,0,-0.57048976485958569,0,-0.27783234344414776
81,317.02544031311169,536180.43969584187,0.41580965777381951,0,-0.5847143697413909,0,-0.28482156333391467
82,320.93933463796492,528506.16725979222,-14.54089703409181,0,-0.59913064077689215,0,-0.29189760583100777
